Category,Location,Keyword,Name,URL
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở Hà,https://www.google.com/maps/place/Ph%E1%BB%9F+H%C3%A0/data=!4m7!3m6!1s0x31752fb05fc402a7:0xe333ac8921d34f1e!8m2!3d10.7579001!4d106.6890574!16s%2Fg%2F11k0rc3whh!19sChIJpwLEX7AvdTERHk_TIYmsM-M?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở Thái Sơn,https://www.google.com/maps/place/Ph%E1%BB%9F+Th%C3%A1i+S%C6%A1n/data=!4m7!3m6!1s0x31752fac16085499:0xdfd4b34d92badc!8m2!3d10.769078!4d106.6910068!16s%2Fg%2F11ql_2p42g!19sChIJmVQIFqwvdTER3LqSTbPU3wA?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở 2000,https://www.google.com/maps/place/Ph%E1%BB%9F+2000/data=!4m7!3m6!1s0x31752f3f234639e1:0x82e9aa6192f04de5!8m2!3d10.7727149!4d106.6967629!16s%2Fg%2F1tdqdzbp!19sChIJ4TlGIz8vdTER5U3wkmGq6YI?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở Thanh Bình,https://www.google.com/maps/place/Ph%C6%A1%CC%89+Thanh+Bi%CC%80nh/data=!4m7!3m6!1s0x31752f4a73fe90e5:0xa9156916d8c04f01!8m2!3d10.7853481!4d106.7002547!16s%2Fg%2F1wn314xt!19sChIJ5ZD-c0ovdTERAU_A2BZpFak?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở Minh ( Văn Hiến) - Quán Phở Quận 1,https://www.google.com/maps/place/Ph%E1%BB%9F+Minh+%28+V%C4%83n+Hi%E1%BA%BFn%29+-+Qu%C3%A1n+Ph%E1%BB%9F+Qu%E1%BA%ADn+1/data=!4m7!3m6!1s0x31752f32c375c8bf:0x64cd6a3cd2593432!8m2!3d10.7699365!4d106.6883031!16s%2Fg%2F11v9y7pg8w!19sChIJv8h1wzIvdTERMjRZ0jxqzWQ?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở Số 1 Hà Nội,https://www.google.com/maps/place/Ph%E1%BB%9F+S%E1%BB%91+1+H%C3%A0+N%E1%BB%99i/data=!4m7!3m6!1s0x31752f4a0b1dee23:0x43a6a9aef02a8f52!8m2!3d10.7848418!4d106.7000801!16s%2Fg%2F11cmh011__!19sChIJI-4dC0ovdTERUo8q8K6ppkM?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở Thịnh,https://www.google.com/maps/place/Ph%E1%BB%9F+Th%E1%BB%8Bnh/data=!4m7!3m6!1s0x31752fb4b845d115:0x657a5aae38c0cbc4!8m2!3d10.771159!4d106.6875859!16s%2Fg%2F11j65l9yw3!19sChIJFdFFuLQvdTERxMvAOK5aemU?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở Hải Triều,https://www.google.com/maps/place/Ph%E1%BB%9F+H%E1%BA%A3i+Tri%E1%BB%81u/data=!4m7!3m6!1s0x31752f4144e8ae37:0xa412567e3778cae4!8m2!3d10.7716833!4d106.7050624!16s%2Fg%2F11gh049jq4!19sChIJN67oREEvdTER5Mp4N35WEqQ?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở Hoàng,https://www.google.com/maps/place/Ph%E1%BB%9F+Ho%C3%A0ng/data=!4m7!3m6!1s0x317529502018fc5b:0x8ddd105cc46bebb7!8m2!3d10.7919676!4d106.6957429!16s%2Fg%2F11s94hxv6d!19sChIJW_wYIFApdTERt-trxFwQ3Y0?authuser=0&hl=en&rclk=1
phở,"Quận 1, TP. Hồ Chí Minh","phở ở Quận 1, TP. Hồ Chí Minh",Phở Thìn - Lê Thị Hồng Gấm,https://www.google.com/maps/place/Ph%E1%BB%9F+Th%C3%ACn+-+L%C3%AA+Th%E1%BB%8B+H%E1%BB%93ng+G%E1%BA%A5m/data=!4m7!3m6!1s0x31752f003baf145f:0xac05a0846cad8168!8m2!3d10.769133!4d106.697582!16s%2Fg%2F11vx5dyk0z!19sChIJXxSvOwAvdTERaIGtbISgBaw?authuser=0&hl=en&rclk=1
